      1       0 root                 /usr/lib/systemd/systemd --  0.1  0.0 15104
  14431   14241 quantium             /tmp/.mount_cursoriAGpGP/us  1.5  1.3 447636
  14432   14241 quantium             /tmp/.mount_cursoriAGpGP/us  1.0  1.1 360340
  14433   14241 quantium             /tmp/.mount_cursoriAGpGP/us  1.0  1.1 361408
  14447   14241 quantium             /tmp/.mount_cursoriAGpGP/us  0.3  0.5 181364
  14452   14241 quantium             /tmp/.mount_cursoriAGpGP/us  1.0  0.4 157472
  14453   14241 quantium             /tmp/.mount_cursoriAGpGP/us  0.3  0.5 182428
  14455   14241 quantium             /tmp/.mount_cursoriAGpGP/us  0.5  0.6 201852
  14465   14241 quantium             /tmp/.mount_cursoriAGpGP/us  0.5  0.6 201076
  14586   14241 quantium             /tmp/.mount_cursoriAGpGP/us  0.1  0.5 164052
  14823   14433 quantium             tsserver[5.8.2]: syntax      0.0  0.5 177516
  14824   14433 quantium             tsserver[5.8.2]: semantic    0.6  1.4 470976
  14839   14433 quantium             /tmp/.mount_cursoriAGpGP/us  0.0  0.5 168832
  14869   14432 quantium             tsserver[5.8.2]: syntax      0.0  0.5 180024
  14870   14432 quantium             tsserver[5.8.2]: semantic    0.7  1.5 494688
  14876   14824 quantium             /tmp/.mount_cursoriAGpGP/us  0.0  0.4 150748
  14915   14432 quantium             /tmp/.mount_cursoriAGpGP/us  0.0  0.5 170552
  14940   14870 quantium             /tmp/.mount_cursoriAGpGP/us  0.0  0.4 149924
  15097   14586 quantium             /usr/bin/bash --init-file /  0.0  0.0  5632
  15157   14431 quantium             /home/quantium/.cursor/exte  1.1  3.5 1155616
  15234   14431 quantium             /tmp/.mount_cursoriAGpGP/us  0.0  0.4 131352
  15320   14432 quantium             /tmp/.mount_cursoriAGpGP/us  0.2  0.6 221700
  15424   14433 quantium             /tmp/.mount_cursoriAGpGP/us  0.1  0.6 210668
  15626    6483 quantium             /usr/bin/ssh-agent -D -a /r  0.0  0.0  5632
  15661   14430 quantium             /tmp/.mount_cursoriAGpGP/us  0.0  0.3 129376
  15662   14586 quantium             /usr/bin/bash --init-file /  0.0  0.0  5632
  15908   14430 quantium             /tmp/.mount_cursoriAGpGP/us  0.0  0.4 131004
  15932   14433 quantium             /tmp/.mount_cursoriAGpGP/us  0.0  0.4 130948
  15961   14431 quantium             /tmp/.mount_cursoriAGpGP/us  0.0  0.3 129680
  16053   14433 quantium             /tmp/.mount_cursoriAGpGP/us  0.1  0.5 177220
  16381   14432 quantium             /tmp/.mount_cursoriAGpGP/us  0.0  0.4 136536
  16396   14432 quantium             /tmp/.mount_cursoriAGpGP/us  0.1  0.5 179832
  17407       2 root                 [kworker/2:0-i915-unordered  0.0  0.0     0
  32906       2 root                 [kworker/8:1-events]         0.0  0.0     0
  46638    7179 quantium             /opt/google/chrome/chrome   10.7  2.4 809752
  46644   46638 quantium             cat                          0.0  0.0  1792
  46645   46638 quantium             cat                          0.0  0.0  1792
  46647    6333 quantium             /opt/google/chrome/chrome_c  0.0  0.0  3968
  46649    6333 quantium             /opt/google/chrome/chrome_c  0.0  0.0  3456
